step,inception_score,fid_mean,fid_lower,fid_upper,sfid_mean,sfid_lower,sfid_upper,precision,recall
0,1.458296537399292,188.56662,92.60525722992134,281.1718771029682,97.75565,168.75057378356985,266.5062271649175,0.0,0.0
2000,1.4609719514846802,170.93524,88.87387749360977,259.8091191928285,99.92256,168.54739254104726,268.4699541865552,4e-05,0.0
4000,1.483020305633545,154.17535,84.689857879118,238.86521188302427,102.85075,168.02525715097443,270.8760109351542,0.00016,0.0
6000,1.5146892070770264,138.99174,79.76699924017126,218.75874423528848,103.45799,165.25719118930414,268.7151837430151,0.00076,0.0
8000,1.5573017597198486,125.62778,73.82876348347534,199.45654058308475,99.97919,158.82255340035653,258.8017404120753,0.00186,0.0
10000,1.629665732383728,114.41937,67.57795043148005,181.99732299007383,92.36242,148.61690538695677,240.97932451537463,0.00364,0.0
12000,1.7443211078643799,103.72106,60.870093807242824,164.59115551378576,81.22685,135.21279199267292,216.439644409665,0.00508,0.0002
14000,1.9179050922393799,93.16619,54.271305090807004,147.43749619188122,69.54482,120.58744394829353,190.1322666411645,0.01006,0.0008
16000,2.109530210494995,82.51218,48.26248234628753,130.7746588599594,59.614544,107.34829102098342,166.96283493577823,0.02066,0.0017
18000,2.334237575531006,70.583275,42.19544059189218,112.77871543320077,51.348106,94.6531011434356,146.00120752771295,0.04782,0.0036
20000,2.5216541290283203,57.73514,36.8395957096474,94.57473746379779,44.03275,82.49486914147064,126.52761831749604,0.10744,0.0116
22000,2.715012311935425,44.000217,31.420915356565274,75.42113279430941,37.187458,70.95497614800388,108.14243418633396,0.21508,0.0272
24000,2.8357319831848145,32.264236,26.32471167192844,58.58894812212375,31.003733,60.49980697324622,91.50353965452064,0.36506,0.0494
26000,2.958544969558716,23.041903,21.777990012676952,44.81989255479121,24.97954,50.9252789735408,75.90481884475662,0.51938,0.0873
28000,3.049830436706543,16.79559,17.814750919076516,34.610340366098,19.740307,42.62415053844563,62.36445739269368,0.63332,0.121
30000,3.129652500152588,12.452377,14.69662254443881,27.148999863774748,15.379924,35.80821164127235,51.188135461767956,0.69676,0.1798
32000,3.164410352706909,9.618937,12.228895958955889,21.847832497652178,11.758582,30.434455921880044,42.193038037053384,0.73162,0.2123
34000,3.236807346343994,7.6843543,10.339257187258795,18.02361149252613,9.060514,26.380333124718618,35.44084757479186,0.74822,0.2492
36000,3.2809395790100098,6.2731757,8.861736337197442,15.134912053597589,6.920767,23.16067538707739,30.081442217521726,0.7512,0.2956
38000,3.3269195556640625,5.276159,7.7884771612245345,13.0646359708864,5.25006,20.76535279895188,26.015412880433814,0.7522,0.3215
40000,3.359647035598755,4.432513,6.858603395509135,11.291116632508647,4.096108,19.005071142505358,23.101179102252672,0.7603,0.3662
42000,3.3825340270996094,3.7449763,6.102945201655359,9.84792148377511,3.1466386,17.62094459244463,20.76758322426531,0.76316,0.3936
44000,3.397794008255005,3.2299037,5.5057120401463635,8.735615738113893,2.4861412,16.629497774168044,19.11563897900203,0.7645,0.4059
46000,3.4384326934814453,2.7251205,5.0278695486592255,7.752990093092819,2.037687,15.870523175261837,17.908210238479,0.76538,0.4363
48000,3.4344451427459717,2.374094,4.609145351009545,6.983239360408959,1.698635,15.362009070122554,17.060644052231623,0.76294,0.4582
50000,3.4913058280944824,2.0239089,4.185434648843341,6.2093435023742245,1.3526841,14.910042469282757,16.26272660948814,0.76478,0.4727
52000,3.50488018989563,1.7912737,3.9356037303240896,5.726877443435967,1.1558402,14.624245633880605,15.78008579234313,0.76634,0.4867
54000,3.548524856567383,1.5787542,3.741123747192148,5.319877933822397,1.0236553,14.39308290571546,15.416738201087469,0.76012,0.5028
56000,3.5443992614746094,1.3431796,3.5019329465911255,4.845112530140625,0.9004284,14.200563019211131,15.100991433555919,0.75988,0.5192
58000,3.55155611038208,1.212923,3.3092687720030085,4.522191821929766,0.78625745,14.08760046878308,14.873857914595305,0.76032,0.5305
60000,3.5349948406219482,1.099597,3.1988000817050875,4.298397058938974,0.74637103,13.975429059740236,14.721800090547731,0.75722,0.5326
62000,3.5860888957977295,0.9766315,3.085249708213837,4.061881230392487,0.6451945,13.87223306072974,14.517427531612157,0.7565,0.5435
64000,3.5509560108184814,0.8417382,2.9419890543928204,3.7837272784223615,0.5975881,13.793749471519504,14.391337593410526,0.75156,0.5415
66000,3.597069501876831,0.78163075,2.8670941803116534,3.6487249347824786,0.5661915,13.760845006863178,14.327036501328053,0.75286,0.5534
68000,3.6063342094421387,0.72759324,2.8218876184620854,3.549480861584186,0.51591945,13.712115477180532,14.228034924125723,0.75192,0.5562
70000,3.609668254852295,0.65981424,2.7525168682587378,3.4123311068070166,0.48573196,13.690935602403442,14.176667561746399,0.75328,0.565
72000,3.6412734985351562,0.61064947,2.671303524676432,3.2819529911910195,0.46641308,13.626518693910043,14.092931774602334,0.75156,0.5664
74000,3.6312003135681152,0.5268667,2.5970497302218405,3.1239164046450583,0.45494434,13.66657313974838,14.121517482123181,0.74564,0.5695
76000,3.6335501670837402,0.5200609,2.5776371257367146,3.0976980226101887,0.4430869,13.6376622360076,14.08074912837401,0.74466,0.5731
78000,3.660088062286377,0.47546077,2.541335013865364,3.0167957816113358,0.42866012,13.640817779479448,14.069477904019777,0.74234,0.5753
80000,3.6698813438415527,0.44571152,2.5015628133704126,2.9472743366648615,0.4286697,13.597521142169171,14.026190833254987,0.74476,0.5863
82000,3.6611361503601074,0.42379993,2.4766990835470324,2.9004990155500536,0.41728196,13.614941209121753,14.032223164602328,0.74196,0.5874
84000,3.6828830242156982,0.41431004,2.445150487916692,2.859460526006444,0.42270276,13.61377719900338,14.036479958507698,0.74106,0.589
