step,inception_score,fid_mean,precision,recall
0,1.0000150203704834,270.99866,0.0,0.0
2000,1.0617947578430176,271.71222,0.0,0.0
4000,1.6777431964874268,171.34561,0.0077,0.0
6000,1.9531612396240234,100.216194,0.10288,0.0007
8000,2.0967659950256348,72.90367,0.18888,0.001
10000,2.3243751525878906,55.236725,0.25802,0.003
12000,2.5563955307006836,42.7629,0.32172,0.0085
14000,2.7660698890686035,34.96479,0.36394,0.0158
16000,2.952253580093384,30.55459,0.38454,0.0284
18000,3.162889003753662,27.953894,0.38802,0.0419
20000,3.3315463066101074,26.123302,0.38428,0.0624
22000,3.479142665863037,24.779045,0.3742,0.0826
24000,3.6262035369873047,23.31567,0.37676,0.1015
26000,3.7680392265319824,21.564362,0.3837,0.1373
28000,3.8853542804718018,19.674932,0.40096,0.1649
30000,4.004622459411621,17.294353,0.43088,0.2105
32000,4.1279497146606445,14.894304,0.46618,0.2444
34000,4.279646873474121,12.388045,0.50758,0.3048
36000,4.386900901794434,10.149536,0.54626,0.352
38000,4.472818851470947,8.2084255,0.58894,0.3975
40000,4.561460971832275,6.6381474,0.61526,0.4361
42000,4.633712291717529,5.3560905,0.64428,0.4624
44000,4.689486026763916,4.334104,0.65982,0.4896
46000,4.771120548248291,3.5443788,0.67842,0.5112
48000,4.7822465896606445,2.9406629,0.68798,0.5195
50000,4.8191423416137695,2.4163127,0.69486,0.5349
52000,4.828693389892578,2.0120883,0.70334,0.5426
54000,4.84549617767334,1.7303419,0.70864,0.5583
56000,4.876770973205566,1.4275241,0.71418,0.5632
58000,4.886621475219727,1.2226629,0.71788,0.5617
60000,4.881687641143799,1.042657,0.72276,0.5772
62000,4.900906562805176,0.8794749,0.7217,0.5733
64000,4.900387763977051,0.77353215,0.72076,0.5859
66000,4.907853603363037,0.69057095,0.728,0.5862
68000,4.943392753601074,0.59574956,0.72534,0.5883
70000,4.939053058624268,0.5467348,0.727,0.5858
