step,inception_score,fid_mean,precision,recall
100,4.4518232345581055,17.814655,0.2622,0.1534
200,4.463845252990723,17.033808,0.27612,0.17
300,4.504474639892578,16.250809,0.29468,0.1902
400,4.5411481857299805,15.37908,0.30538,0.2006
500,4.558029651641846,14.646826,0.32472,0.2263
600,4.716978549957275,13.7717705,0.33692,0.2469
700,4.695735454559326,13.063947,0.355,0.2685
3200,4.835537910461426,11.186028,0.4026,0.3653
5700,4.911113739013672,9.054346,0.455,0.411
8200,5.019697189331055,7.2798204,0.5135,0.463
11700,5.0998334884643555,5.6759276,0.5625,0.497
13200,5.077450752258301,4.508381,0.5853,0.5436
15700,5.067713737487793,3.4927177,0.6327,0.5428
18200,5.104286193847656,2.6495187,0.6452,0.5745
